omim_id	omim_title	omim_description	omim_phenotype	gene_symbol	hgnc_id	phenotypes	mode_of_inheritance	section_matched	search_term	omim_api_query_lethal_hit	final_lethal_hit_phenotype_included	final_lethality_quote	final_lethality_category_hpo	final_evidence_from_proband	final_evidence_from_family_members	disease_gene_lethal	gene_lethal	gene_lethal_summary	all_lethality_categories	earliest_lethality_category
100100	PRUNE BELLY SYNDROME	"Prune belly syndrome, 100100 (3)"	Prune belly syndrome	CHRM3	HGNC:1952	"Prune belly syndrome, 100100 (3), Autosomal recessive"	Autosomal recessive	Clinical Features	died	y	n	-	-	-	-	ambiguous	ambiguous	ambiguous	-	-
100300	ADAMS-OLIVER SYNDROME 1	"Adams-Oliver syndrome 1, 100300 (3)"	Adams-Oliver syndrome 1	ARHGAP31	HGNC:29216	"Adams-Oliver syndrome 1, 100300 (3), Autosomal dominant"	Autosomal dominant	Clinical Features	died|fatal	y	y	[Toriello et al. (1988) described cutis marmorata telangiectatica congenita in a child with the Adams-Oliver syndrome. He also had pulmonary hypertension in association with pulmonary vein stenosis and died at age 4 months of cardiopulmonary arrest]	L3	y	-	lethal	lethal	lethal	L3	L3
100800	ACHONDROPLASIA	"Achondroplasia, 100800 (3)"	Achondroplasia	FGFR3	HGNC:3690	"Achondroplasia, 100800 (3), Autosomal dominant"	Autosomal dominant	Clinical Features|Phenotype	death|deaths|died|lethal	y	y	"[Pauli et al. (1984) focused attention on the risk of sudden unexpected death in infants with achondroplasia. While uncontrolled and retrospective, their study demonstrated an excess of deaths in the first year of life, most or all of which were attributable to abnormalities at the craniocervical junction]"	L3	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L2|L3	L2
101000	"NEUROFIBROMATOSIS, TYPE II"	"Neurofibromatosis, type 2, 101000 (3)"	"Neurofibromatosis, type 2"	NF2	HGNC:7773	"Neurofibromatosis, type 2, 101000 (3), Autosomal dominant"	Autosomal dominant	Clinical Features	autopsy|autopsies|death|deaths	y	y	"[Gardner and Frazier (1933) reported a family of 5 generations in which 38 members were deaf because of bilateral acoustic neuromas; of these, 15 later became blind.The average age at onset of deafness was 20 years. The average age at death of affected persons in thesecond generation was 72, in the third generation 63, in the fourth 42, and in the fifth 28]"	L6	y	-	lethal	lethal	lethal	L6	L6
101200	APERT SYNDROME	"Apert syndrome, 101200 (3)"	Apert syndrome	FGFR2	HGNC:3689	"Apert syndrome, 101200 (3), Autosomal dominant"	Autosomal dominant	Clinical Features	autopsy|autopsies|stillborn	y	y	"[Cohen and Kreiborg (1995) studied 44 pairs of hands and 37 pairs of feet in Apert syndrome, usingclinical, dermatoglyphic, and radiographic methods. They also studied  histologic sections of the hand from a 31-week stillborn fetus]"	L1	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1
101400	SAETHRE-CHOTZEN SYNDROME	"Saethre-Chotzen syndrome with or without eyelid anomalies, 101400 (3)"	Saethre-Chotzen syndrome with or without eyelid anomalies	TWIST1	HGNC:12428	"Saethre-Chotzen syndrome with or without eyelid anomalies, 101400 (3), Autosomal dominant"	Autosomal dominant	-	-	n	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-
101400	SAETHRE-CHOTZEN SYNDROME	"Saethre-Chotzen syndrome, 101400 (3)"	Saethre-Chotzen syndrome	FGFR2	HGNC:3689	"Saethre-Chotzen syndrome, 101400 (3), Autosomal dominant"	Autosomal dominant	-	-	n	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1
101600	PFEIFFER SYNDROME	"Craniofacial-skeletal-dermatologic dysplasia, 101600 (3)"	Craniofacial-skeletal-dermatologic dysplasia	FGFR2	HGNC:3689	"Craniofacial-skeletal-dermatologic dysplasia, 101600 (3), Autosomal dominant"	Autosomal dominant	Description|Clinical Synopsis|Diagnosis|Phenotype	demise|autopsy|autopsies|death|deaths|died	y	y	[Early demise / died shortly after birth]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1
101600	PFEIFFER SYNDROME	"Pfeiffer syndrome, 101600 (3)"	Pfeiffer syndrome	FGFR1	HGNC:3688	"Pfeiffer syndrome, 101600 (3), Autosomal dominant"	Autosomal dominant	Description|Clinical Synopsis|Diagnosis|Phenotype	demise|autopsy|autopsies|death|deaths|died	y	y	[Early demise is characteristic of types 2 and 3 /***Most patients with this form died shortly after birth (in Molecular Genetics field)]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L2|L3	L2
101600	PFEIFFER SYNDROME	"Pfeiffer syndrome, 101600 (3)"	Pfeiffer syndrome	FGFR2	HGNC:3689	"Pfeiffer syndrome, 101600 (3), Autosomal dominant"	Autosomal dominant	Description|Clinical Synopsis|Diagnosis|Phenotype	demise|autopsy|autopsies|death|deaths|died	y	y	[Early demise / died shortly after birth]	L2	y	-	lethal	lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1
